txn_id,booked_on,updated_at,account,currency,amount,memo
T-1001,2026-07-03,2026-07-03T09:00:00,1000,eur,"EUR 1,240.00",opening float
T-1002,2026-07-11,2026-07-11T10:30:00,6100,eur,EUR 318.40,flight muc-lis
T-1003,2026-07-19,2026-07-19T08:15:00,4000,eur,"EUR 9,800.00",invoice 2026-114
T-1004,2026-08-02,2026-08-02T11:00:00,6200,eur,(EUR 340.00),refund on seat licences
T-1005,2026-08-05,2026-08-05T14:45:00,6300,eur,EUR 76.20,team lunch
T-1006,2026-08-09,2026-08-09T07:05:00,5000,eur,"EUR 2,410.75",print run
T-1003,2026-07-19,2026-08-12T16:20:00,4000,eur,"EUR 9,750.00",invoice 2026-114 credit note applied
T-1007,2026-08-14,2026-08-14T09:40:00,1100,eur,(112.05),bad debt written back
T-1008,2026-08-21,2026-08-21T13:00:00,7100,eur,EUR 44.00,bank charges
T-1009,2026-08-28,2026-08-28T17:30:00,2000,eur,"EUR 5,600.00",supplier settlement
T-1002,2026-07-11,2026-08-30T10:00:00,6100,eur,EUR 298.40,flight muc-lis rebooked
